[[921.          31.09070007]
 [477.          31.06371328]
 [478.          31.0580512 ]
 [481.          31.0451246 ]
 [479.          31.01216237]
 [920.          30.95286451]
 [903.          30.94429947]
 [993.          30.93854774]
 [915.          30.93303834]
 [466.          30.92139795]
 [917.          30.91529813]
 [468.          30.88518879]
 [992.          30.87998347]
 [470.          30.8765289 ]
 [916.          30.86188358]
 [919.          30.85816692]
 [925.          30.84526203]
 [910.          30.82506926]
 [474.          30.82434086]
 [908.          30.79072279]
 [473.          30.78371776]
 [927.          30.78061402]
 [853.          30.77806534]
 [467.          30.77333542]
 [855.          30.76670071]
 [906.          30.76143887]
 [482.          30.76000061]
 [806.          30.73435228]
 [896.          30.73339171]
 [810.          30.72545998]
 [852.          30.71815518]
 [635.          30.71794544]
 [922.          30.7128086 ]
 [918.          30.70983758]
 [596.          30.70177798]
 [913.          30.68992421]
 [858.          30.68708102]
 [475.          30.68382696]
 [851.          30.68142183]
 [802.          30.68038713]
 [909.          30.67917653]
 [924.          30.66473332]
 [860.          30.66082417]
 [846.          30.65592989]
 [928.          30.64812676]
 [845.          30.63712197]
 [859.          30.63484875]
 [819.          30.62398257]
 [465.          30.62324857]
 [914.          30.62324521]
 [885.          30.6149451 ]
 [911.          30.59872421]
 [469.          30.597661  ]
 [850.          30.59321495]
 [907.          30.59082291]
 [857.          30.584437  ]
 [472.          30.57831323]
 [805.          30.5772095 ]
 [904.          30.5583575 ]
 [610.          30.54128604]
 [934.          30.53681086]
 [807.          30.53346137]
 [923.          30.53342232]
 [897.          30.52380458]
 [636.          30.52365641]
 [844.          30.51547755]
 [854.          30.51403662]
 [638.          30.51375271]
 [926.          30.50441314]
 [912.          30.50085219]
 [808.          30.49864661]
 [856.          30.49363601]
 [634.          30.49095522]
 [900.          30.48991474]
 [487.          30.48675394]
 [862.          30.48051865]
 [628.          30.47951281]
 [937.          30.47678353]
 [611.          30.47203091]
 [597.          30.46960901]
 [486.          30.46705447]
 [609.          30.46593054]
 [601.          30.46542657]
 [861.          30.45944781]
 [464.          30.45343827]
 [622.          30.44246844]
 [471.          30.44214137]
 [797.          30.43492625]
 [480.          30.43398351]
 [608.          30.42663616]
 [621.          30.41936056]
 [902.          30.41804157]
 [818.          30.41730757]
 [804.          30.41046415]
 [990.          30.40516401]
 [801.          30.40177898]
 [604.          30.40040172]
 [637.          30.40027814]
 [809.          30.40001557]
 [817.          30.39527982]]
